title,description,link,query
BTS 광화문 공연: 사진으로 보는 돌아온 '완전체 BTS' 공연 - BBC,"<a href=""https://news.google.com/rss/articles/CBMiXEFVX3lxTE9ZcXI1UW9kandWUGl4R3NTeFFCZGtqZEZLZnFxdDNTMFJROFNTYnJWdkVVY1dKWGwzV1JMZGpWeHI5dUZ6NnhBWEFjeG1JOEJTRHgtdVRFNUdiMF9G0gFiQVVfeXFMUDc5TDZNblhQcHdnb2ZwbDVmTkJOZ1B5WlJMWGpSaC15b2loMkg2bjVvNi1YUG1mdmhfMkp2N3ZvX0NlT29OR3luWlBpdlJVdUQxbzhUQnZaR3VNQ3FvQWJEMkE?oc=5"" target=""_blank"">BTS 광화문 공연: 사진으로 보는 돌아온 '완전체 BTS' 공연</a>&nbsp;&nbsp;<font color=""#6f6f6f"">BBC</font>",https://news.google.com/rss/articles/CBMiXEFVX3lxTE9ZcXI1UW9kandWUGl4R3NTeFFCZGtqZEZLZnFxdDNTMFJROFNTYnJWdkVVY1dKWGwzV1JMZGpWeHI5dUZ6NnhBWEFjeG1JOEJTRHgtdVRFNUdiMF9G0gFiQVVfeXFMUDc5TDZNblhQcHdnb2ZwbDVmTkJOZ1B5WlJMWGpSaC15b2loMkg2bjVvNi1YUG1mdmhfMkp2N3ZvX0NlT29OR3luWlBpdlJVdUQxbzhUQnZaR3VNQ3FvQWJEMkE?oc=5,BTS
"[현장FACT] '신곡 틀어놓고 떼창'… BTS 공연 D-1, 광화문 점령한 '글로벌 아미' (영상) - v.daum.net","<a href=""https://news.google.com/rss/articles/CBMiT0FVX3lxTE1McEQ4ZHk0X29BOFlaOWNEcUZuRzFlakRHSHl3d3BQa0lYMGJ3MVZjcTV1S2dxdEFzTk1COXVXaFJJbXktN1lCdUhteXp5ZUE?oc=5"" target=""_blank"">[현장FACT] '신곡 틀어놓고 떼창'… BTS 공연 D-1, 광화문 점령한 '글로벌 아미' (영상)</a>&nbsp;&nbsp;<font color=""#6f6f6f"">v.daum.net</font>",https://news.google.com/rss/articles/CBMiT0FVX3lxTE1McEQ4ZHk0X29BOFlaOWNEcUZuRzFlakRHSHl3d3BQa0lYMGJ3MVZjcTV1S2dxdEFzTk1COXVXaFJJbXktN1lCdUhteXp5ZUE?oc=5,BTS
"BTS 컴백 무대, 왜 광화문?… 방시혁 뜻이었다 - 조선일보","<a href=""https://news.google.com/rss/articles/CBMijAFBVV95cUxOWGNEakRJbWZYb3dWcVljOXlRTzJkaDdqUE5aWDlKMV9mc3JVNU1Zb012Yzg1c2xhMnlDdUhaSEVkRWdMcGsxOUFialhKLWk3dExKSnlKZkRPd1B5ODZpaXVwTlpFUEhpVFJHTENiNnZ2NzFnUjFRbTRnQTZ5cVhja2Iyc2NkZG1JX3hmNtIBoAFBVV95cUxNM2dzVFVfY0VhUXN3NWtlZVF2UXBGNHBvQWwwYl9OT1Y4N0ZOejRhUUt5dXo0NHJLSm5EalRNSHVkYk1sOXFTU1ZFT1ctRUhVQ2NLbzlUcFgtTm9tdjZGNVBTRnZBNGRmV0s1Ny1yTmYxRkNJRnpOai1lTGFGZjlsQ2NrWmNtNVNBRU50S0lVcFdtNUNaRGlrazFtU250eEhn?oc=5"" target=""_blank"">BTS 컴백 무대, 왜 광화문?… 방시혁 뜻이었다</a>&nbsp;&nbsp;<font color=""#6f6f6f"">조선일보</font>",https://news.google.com/rss/articles/CBMijAFBVV95cUxOWGNEakRJbWZYb3dWcVljOXlRTzJkaDdqUE5aWDlKMV9mc3JVNU1Zb012Yzg1c2xhMnlDdUhaSEVkRWdMcGsxOUFialhKLWk3dExKSnlKZkRPd1B5ODZpaXVwTlpFUEhpVFJHTENiNnZ2NzFnUjFRbTRnQTZ5cVhja2Iyc2NkZG1JX3hmNtIBoAFBVV95cUxNM2dzVFVfY0VhUXN3NWtlZVF2UXBGNHBvQWwwYl9OT1Y4N0ZOejRhUUt5dXo0NHJLSm5EalRNSHVkYk1sOXFTU1ZFT1ctRUhVQ2NLbzlUcFgtTm9tdjZGNVBTRnZBNGRmV0s1Ny1yTmYxRkNJRnpOai1lTGFGZjlsQ2NrWmNtNVNBRU50S0lVcFdtNUNaRGlrazFtU250eEhn?oc=5,BTS
"[속보]BTS 공연 앞두고 테러경보 격상…지하철 환기구 안전 펜스, 건물 옥상도 폐쇄 - 문화일보","<a href=""https://news.google.com/rss/articles/CBMiUEFVX3lxTFBSZFFHWndnWllkdnU3ZzFNYTE1QjBSTmZtWUc4V1F4cHBkejNHOVZIaFFadGVmdTNhODJ0X3ZRX2Y1eTh0RlBoX0h1ZDZkN0dM?oc=5"" target=""_blank"">[속보]BTS 공연 앞두고 테러경보 격상…지하철 환기구 안전 펜스, 건물 옥상도 폐쇄</a>&nbsp;&nbsp;<font color=""#6f6f6f"">문화일보</font>",https://news.google.com/rss/articles/CBMiUEFVX3lxTFBSZFFHWndnWllkdnU3ZzFNYTE1QjBSTmZtWUc4V1F4cHBkejNHOVZIaFFadGVmdTNhODJ0X3ZRX2Y1eTh0RlBoX0h1ZDZkN0dM?oc=5,BTS
"압도적인 스케일의 BTS 컴백 공연···5층 건물 무대, 23개 현장 카메라, 124개 모니터 - 경향신문","<a href=""https://news.google.com/rss/articles/CBMiWkFVX3lxTFAzNGNudUh2b1I0ZmZKMTVHNGd2T0dhaUhqbkFYNkxycGpMS1NuU1IxMmgteXoxVUFQanhhX3liUWJGZkMzcnhyWUdiZFRvbS1FaWZvSkRFTTZaQdIBX0FVX3lxTE5YaWF0aktzdVd2Z0Jic1hwN0c5Q2VubzhfYzB5a0ZmZkVlTUZjZk05X2xiM0NJUzBobHdOZkpqUHVzOWVzTEQtZk1LM0s4ZUEteXFkdjdsVWZjSy1JMDZ3?oc=5"" target=""_blank"">압도적인 스케일의 BTS 컴백 공연···5층 건물 무대, 23개 현장 카메라, 124개 모니터</a>&nbsp;&nbsp;<font color=""#6f6f6f"">경향신문</font>",https://news.google.com/rss/articles/CBMiWkFVX3lxTFAzNGNudUh2b1I0ZmZKMTVHNGd2T0dhaUhqbkFYNkxycGpMS1NuU1IxMmgteXoxVUFQanhhX3liUWJGZkMzcnhyWUdiZFRvbS1FaWZvSkRFTTZaQdIBX0FVX3lxTE5YaWF0aktzdVd2Z0Jic1hwN0c5Q2VubzhfYzB5a0ZmZkVlTUZjZk05X2xiM0NJUzBobHdOZkpqUHVzOWVzTEQtZk1LM0s4ZUEteXFkdjdsVWZjSy1JMDZ3?oc=5,BTS
‘왕의 길’ 걷는 BTS…미리보는 광화문 공연 - KBS 뉴스,"<a href=""https://news.google.com/rss/articles/CBMiW0FVX3lxTFBELU5LLVYyenhkWG1TMlBUblc3R2hwZG5Za0p0X0tFMHozazltNzZpNUUzR21kS3RCUnBUeFlJeTdQbDRvQU9sQUp2YWFub0s1MVNtYzA2eHpmdnc?oc=5"" target=""_blank"">‘왕의 길’ 걷는 BTS…미리보는 광화문 공연</a>&nbsp;&nbsp;<font color=""#6f6f6f"">KBS 뉴스</font>",https://news.google.com/rss/articles/CBMiW0FVX3lxTFBELU5LLVYyenhkWG1TMlBUblc3R2hwZG5Za0p0X0tFMHozazltNzZpNUUzR21kS3RCUnBUeFlJeTdQbDRvQU9sQUp2YWFub0s1MVNtYzA2eHpmdnc?oc=5,BTS
"광화문 'BTS 요새' 만든다…""왜 휴일 뺏나"" 현장투입 공무원 울분 - 중앙일보","<a href=""https://news.google.com/rss/articles/CBMiVkFVX3lxTE5kd2FDVk9hNk9VeW9lU2Vud0VJaDJBUDRjWFhSVnNDTV9TNlBnSnNUSzU1NnJWWWlJa3puV0tlOVdELUhhTDJNaDVuVVNsX1pDRHF4eUd3?oc=5"" target=""_blank"">광화문 'BTS 요새' 만든다…""왜 휴일 뺏나"" 현장투입 공무원 울분</a>&nbsp;&nbsp;<font color=""#6f6f6f"">중앙일보</font>",https://news.google.com/rss/articles/CBMiVkFVX3lxTE5kd2FDVk9hNk9VeW9lU2Vud0VJaDJBUDRjWFhSVnNDTV9TNlBnSnNUSzU1NnJWWWlJa3puV0tlOVdELUhhTDJNaDVuVVNsX1pDRHF4eUd3?oc=5,BTS
'BTS 컴백 라이브' 교통·안전 필수정보 여기서 확인! - 서울특별시,"<a href=""https://news.google.com/rss/articles/CBMiWEFVX3lxTE8ySWlfXy1jLTk4NHdSOUpGSVhSeUFVTjhfNzlXS0F2NGMyM2o2ejcwWlhTSDlzZHJqOGszV3ZaVmdFOVBRd2JUNkVRNXM1eTF0RG5Tb2pyZ0w?oc=5"" target=""_blank"">'BTS 컴백 라이브' 교통·안전 필수정보 여기서 확인!</a>&nbsp;&nbsp;<font color=""#6f6f6f"">서울특별시</font>",https://news.google.com/rss/articles/CBMiWEFVX3lxTE8ySWlfXy1jLTk4NHdSOUpGSVhSeUFVTjhfNzlXS0F2NGMyM2o2ejcwWlhTSDlzZHJqOGszV3ZaVmdFOVBRd2JUNkVRNXM1eTF0RG5Tb2pyZ0w?oc=5,BTS
[BTS 컴백] 월드컵 이후 최대규모…BTS에 차벽·특공대 '광화문 요새' - 연합뉴스,"<a href=""https://news.google.com/rss/articles/CBMiW0FVX3lxTE52NDBOLWRJQnJ3c0FMd3FTZzFMQ05uR1BsaEhrbFB2UHhjTGxWcDZxVm5fOXh2cW1BYkNIcnRFN2NoYmthbHNqWVR1ZXNPQkpMMk5tSWpKTXFIeE3SAWBBVV95cUxNRFJ2cWE0S0MySktEbFMxWUlKVGFwNHFROGdsUjUyTXJyZFJVbDJwaFBwRHpvVUhySlZZR0N1STY2N1ktb18zRklSdnRVaS0zN0ZvdVcwTnBHRW9XWUlVY0E?oc=5"" target=""_blank"">[BTS 컴백] 월드컵 이후 최대규모…BTS에 차벽·특공대 '광화문 요새'</a>&nbsp;&nbsp;<font color=""#6f6f6f"">연합뉴스</font>",https://news.google.com/rss/articles/CBMiW0FVX3lxTE52NDBOLWRJQnJ3c0FMd3FTZzFMQ05uR1BsaEhrbFB2UHhjTGxWcDZxVm5fOXh2cW1BYkNIcnRFN2NoYmthbHNqWVR1ZXNPQkpMMk5tSWpKTXFIeE3SAWBBVV95cUxNRFJ2cWE0S0MySktEbFMxWUlKVGFwNHFROGdsUjUyTXJyZFJVbDJwaFBwRHpvVUhySlZZR0N1STY2N1ktb18zRklSdnRVaS0zN0ZvdVcwTnBHRW9XWUlVY0E?oc=5,BTS
"BTS, 광화문 새 역사 썼다...3년여 만의 복귀 무대 어땠을까 - BBC","<a href=""https://news.google.com/rss/articles/CBMiXEFVX3lxTFB2VnAzQU1BeVJ5dVczZ3VpOFFZUjd4eVVyQmczYXZkMEYxVXJqTDZCSUJRU1p4NE5HWF9iNjQwSzRrYkRsM1lKcDNqOXFtbXJuVjZQMzhNcnBDUGhV0gFiQVVfeXFMUHY1a001WTdSYkt6N2c3QU5CX2tFTThxamlucU1PalBDOUhYeGNxSlBuVXU5N2ZvODhLMU8zVl9lUkIwWFU4dERqYkozclRtWDFlM05JWmR2cVRDVmt2ZG5DSXc?oc=5"" target=""_blank"">BTS, 광화문 새 역사 썼다...3년여 만의 복귀 무대 어땠을까</a>&nbsp;&nbsp;<font color=""#6f6f6f"">BBC</font>",https://news.google.com/rss/articles/CBMiXEFVX3lxTFB2VnAzQU1BeVJ5dVczZ3VpOFFZUjd4eVVyQmczYXZkMEYxVXJqTDZCSUJRU1p4NE5HWF9iNjQwSzRrYkRsM1lKcDNqOXFtbXJuVjZQMzhNcnBDUGhV0gFiQVVfeXFMUHY1a001WTdSYkt6N2c3QU5CX2tFTThxamlucU1PalBDOUhYeGNxSlBuVXU5N2ZvODhLMU8zVl9lUkIwWFU4dERqYkozclRtWDFlM05JWmR2cVRDVmt2ZG5DSXc?oc=5,BTS
